id	name	age	country	hometown	height	arm_span	gender
12464	Mario Persing	32.0	GER	Pfinztal	177.0		1
12465	Corinna Wimmer	27.0	GER	München	165.0		-1
12467	Vanessa Weber	40.0	GER	Karlsruhe	158.0		-1
12470	Nicole Diehl	32.0	GER	Eltville am Rhein	169.0		-1
12471	Pia Čuljak DELETE	19.0	CRO	Zagreb	171.0	182.0	-1
12488	Manca Smrekar	29.0	SLO	Ljubljana - Polje	168.0	162.0	-1
12499	Sina Willy	14.0	AUT	Scuol/Schweiz	160.0		-1
12508	Jakub Fábric	18.0	SVK	Bratislava	185.0		1
12510	Roderick Ventura	15.0	FRA	Conflans Sainte Honorine	179.0		1
12514	Nikolay Angelov	15.0	BUL	Sofia	175.0		1
12515	Christiane Luttikhuizen	26.0	NED		174.0		-1
12526	Michele Reusa	15.0	ITA	Luserna San Giovanni ( To)	174.0	184.0	-1
12528	Alice Strocchi	15.0	ITA	Ravenna	153.0		-1
12531	Yulduz Makhmudova	19.0	UZB	Tashkent	165.0	166.0	-1
12532	Asel Turdimuratova	17.0	UZB	Tashkent	167.0		-1
12536	Dmitriy Pitirimov	67.0	UZB	Tashkent	170.0		1
12537	Kylie Cullen	17.0	USA	Colton	165.0		-1
12562	Anastasia KOBETS	15.0	UKR	Kramatorsk	153.0	164.0	-1
12576	Maja Oleksy	14.0	POL	Koszyce Małe/Tarnów	158.0		-1
12579	Snezhana Ermolik	14.0	RUS	Saint-Petersburg	158.0		-1
12599	Marlene Rieger	15.0	AUT	9580 Drobollach	164.0	166.0	-1
12620	Riku Sinivirta	17.0	FIN		171.0	172.0	1
12622	Jessica Knifsund	15.0	FIN	Vanhalinna	166.0	170.0	-1
12624	Saara Autero	15.0	FIN	Vantaa	150.0		-1
12642	Shay Berenfeld	14.0	ISR	Nahariya	149.0	154.0	1
12700	Igor Veselic	18.0	SRB	Belgrade	175.0	185.0	1
12721	Julia Duffy	17.0	USA		176.0		-1
12722	Caden Reedy	16.0	USA		167.0		1
12725	Stefania Daniele	49.0	ITA	Villorba (TV)	171.0		-1
12726	Markus Pösendorfer	38.0	AUT	Vasoldsberg	183.0		1
12740	Tomas Chicaiza	16.0	ECU	Imbabura	175.0		1
12744	Elisa Koppelmann	15.0	GER	Köln	176.0		-1
12753	Mathilde Chauvois	15.0	FRA	SAINT JEAN D AVELANNE	163.0	163.0	-1
12773	Sara Pittureri	15.0	ITA	San Lazzaro Di Savena	165.0	160.0	-1
12774	Emma Ghelli	17.0	ITA	San Lazzaro Di Savena	170.0		-1
12775	Artyom Baranov	16.0	UZB	Tashkent	175.0	175.0	1
12787	Camille Brassier	34.0	FRA	Clermont Ferrand	175.0		-1
12814	Luca Malosti	18.0	ITA	Cuorgne	175.0		1
12816	Samuele Graziani	14.0	ITA	Bologna	172.0		1
12822	Elisa Martin	41.0	ITA	Castelnovo del friuli	157.0		-1
12825	Diego FOURBET	19.0	FRA	L'Argentière la Bessée	174.0		1
12830	Alejandro Rivas Domínguez	20.0	ESP	Móstoles	180.0	75.0	1
12845	Momoko ABE	19.0	JPN	Kanagawa	160.0		-1
12850	Adrien Gsell	14.0	FRA	EVRY-COURCOURONNES	172.0		1
12852	Lana Goric	14.0	SLO	Prebold	162.0		-1
12857	Alexandru Olteanu	21.0	ROU	Piatra Neamț	178.0	180.0	1
12863	Vaidotas Monstavicius	31.0	LTU	Brixen	176.0	177.0	1
